patty.id lat lng ele rss gps.time.err
4 40.003729600 -105.261704600 1650.900 -88 -0.495036
4 40.007139500 -105.262137000 1644.770 -83 -0.112191
4 40.008240300 -105.265059300 1649.010 -66 -0.133521
4 40.006362400 -105.263948900 1657.030 -72 0.296752
6 40.007277200 -105.267313500 1664.010 -81 0.090341
8 40.005938300 -105.270444000 1659.280 -88 0.256671
4 40.005009400 -105.262042400 1646.940 -80 0.063725
4 40.008149600 -105.263210400 1645.410 -67 0.272642
4 40.007345400 -105.266208200 1653.330 -79 -0.039816
4 40.007879100 -105.269100500 1665.340 -86 0.096448
4 40.008242900 -105.269095300 1656.090 -87 -0.166309
4 40.006995900 -105.264669900 1650.050 -83 0.19301
2 40.003749300 -105.261652400 1650.930 -94 -0.195001
4 40.007124100 -105.262145000 1646.030 -83 0.355869
4 40.008242300 -105.265025100 1648.580 -73 0.353032
4 40.006379500 -105.263971200 1656.580 -76 0.293658
4 40.007277700 -105.267389000 1663.740 -79 0.088776
7 40.005938800 -105.270294000 1659.800 -92 0.11869
6 40.005562400 -105.266730700 1652.710 -87 -0.105816
4 40.005009400 -105.262042400 1646.940 -80 -0.46252
4 40.008149600 -105.263210400 1645.410 -64 -0.238896
4 40.007343200 -105.266231500 1653.490 -68 0.243961
4 40.006112700 -105.271055800 1660.310 -87 0.366023
7 40.008487700 -105.273871300 1670.660 -94 0.469365
7 40.007879300 -105.269053800 1666.830 -85 -0.162233
7 40.004383000 -105.267664400 1664.320 -88 -0.058233
4 40.003702600 -105.261758000 1651.240 -87 -0.021582
4 40.007107000 -105.262146700 1646.410 -85 0.351819
4 40.008244400 -105.264992400 1648.180 -71 0.330422
4 40.006395100 -105.263994400 1656.290 -69 0.372377
4 40.007274100 -105.267415400 1663.410 -73 0.475505
4 40.004992000 -105.262056300 1645.870 -79 -0.266335
4 40.008151400 -105.263170200 1645.170 -66 -0.263407
4 40.007343200 -105.266231500 1653.490 -71 -0.471132
4 40.006124000 -105.271034500 1659.990 -87 0.444935
4 40.008249700 -105.269016400 1654.840 -85 0.095831
6 40.006833400 -105.264898700 1651.390 -87 -0.03119
4 40.003687400 -105.261783300 1651.600 -91 0.05726
4 40.007107000 -105.262146700 1646.410 -84 -0.262285
4 40.008244400 -105.264992400 1648.180 -76 -0.309839
4 40.006411300 -105.264015700 1656.160 -72 0.348221
4 40.007274100 -105.267415400 1663.410 -78 -0.138622
8 40.005937500 -105.270407400 1659.500 -90 -0.482888
6 40.005561300 -105.266663200 1652.640 -82 0.338161
4 40.004976500 -105.262073900 1645.130 -82 -0.28997
4 40.008152900 -105.263130400 1645.210 -74 0.122665
4 40.007339300 -105.266254700 1653.440 -74 0.011687
8 40.006096100 -105.271129100 1661.050 -89 -0.432457
7 40.007879100 -105.269100500 1665.340 -89 0.057572
4 40.007022200 -105.264634600 1650.340 -87 -0.067116
4 40.004491000 -105.267755700 1662.480 -89 -0.372087
4 40.003673100 -105.261807500 1651.810 -88 0.339111
4 40.008240100 -105.264958800 1647.750 -71 0.09514
4 40.006426200 -105.264037500 1655.840 -71 0.426127
4 40.007272600 -105.267437900 1662.970 -77 0.34466
8 40.005936800 -105.270370600 1659.590 -88 -0.097126
7 40.005563400 -105.266459800 1652.410 -88 0.451798
4 40.004961200 -105.262096700 1645.120 -82 0.088825
4 40.008152000 -105.263090900 1645.120 -71 0.201972
4 40.007336900 -105.266277700 1653.580 -71 0.071082
8 40.006099100 -105.271103600 1660.950 -87 -0.283641
4 40.007873900 -105.269178500 1663.010 -85 -0.372256
7 40.008247300 -105.269055700 1655.440 -89 0.381285
4 40.003658500 -105.261831800 1652.060 -90 0.316622
4 40.007066600 -105.262140800 1646.600 -85 0.201762
4 40.008236400 -105.264922500 1647.660 -77 0.179946
4 40.006438000 -105.264061000 1655.490 -69 0.499733
4 40.007272600 -105.267437900 1662.970 -78 -0.264677
8 40.005936500 -105.270332700 1659.700 -90 -0.121468
7 40.005563400 -105.266459800 1652.410 -84 -0.188687
4 40.004947200 -105.262124500 1645.070 -80 0.062595
4 40.008151000 -105.263052000 1645.140 -70 0.380904
4 40.007336800 -105.266300700 1653.630 -70 0.377796
4 40.008251600 -105.268935900 1653.870 -88 -0.463084
2 40.003702600 -105.261758000 1651.240 -81 -0.443813
4 40.007042900 -105.262143200 1647.840 -80 0.382885
4 40.008230500 -105.264887100 1647.650 -69 0.33001
4 40.006438000 -105.264061000 1655.490 -71 -0.212158
4 40.007271900 -105.267452600 1662.920 -80 0.120715
7 40.005559000 -105.266435900 1652.430 -83 -0.008605
4 40.004931600 -105.262151300 1644.720 -78 0.427361
4 40.008151000 -105.263052000 1645.140 -74 -0.459372
4 40.007336800 -105.266300700 1653.630 -71 -0.441279
4 40.006113200 -105.270975100 1659.840 -90 -0.138828
7 40.007874800 -105.269150800 1663.920 -85 -0.443233
7 40.008249700 -105.269016400 1654.840 -83 -0.284002
2 40.003687400 -105.261783300 1651.600 -83 -0.01896
4 40.008220900 -105.264851800 1647.470 -66 0.338072
4 40.006445600 -105.264086400 1655.340 -75 -0.133803
4 40.007271700 -105.267460900 1662.990 -81 0.198164
7 40.005556500 -105.266408700 1652.370 -79 0.24934
2 40.003859400 -105.264871300 1649.890 -87 0.431908
4 40.004917800 -105.262179900 1644.350 -80 0.43399
4 40.008152500 -105.263014500 1645.180 -76 -0.357352
8 40.006124000 -105.271034500 1659.990 -84 0.497183
4 40.008250500 -105.268857400 1653.100 -88 0.104066
4 40.007337000 -105.266323900 1653.730 -72 -0.055377
4 40.007078200 -105.264565000 1648.880 -79 0.483091
4 40.008207300 -105.264816400 1646.850 -72 0.4168
4 40.006453500 -105.264111400 1655.100 -67 0.252053
7 40.007272600 -105.267437900 1662.970 -74 -0.017234
6 40.005575600 -105.266575700 1652.160 -78 -0.339319
4 40.004917800 -105.262179900 1644.350 -81 -0.180821
4 40.008153500 -105.262976900 1645.000 -83 -0.283731
7 40.007873100 -105.269207000 1662.050 -86 -0.121769
7 40.008251600 -105.268935900 1653.870 -83 0.077543
4 40.007336700 -105.266347400 1653.660 -78 0.330385
4 40.007098400 -105.264552000 1648.490 -76 0.458521
2 40.003673100 -105.261807500 1651.810 -84 -0.492502
4 40.006997200 -105.262147400 1648.660 -84 0.028206
4 40.008207300 -105.264816400 1646.850 -71 -0.320222
4 40.006463300 -105.264133100 1654.640 -67 0.431998
4 40.007274200 -105.267464900 1662.480 -82 -0.152531
8 40.005950100 -105.270174300 1659.930 -92 0.398046
7 40.005558700 -105.266379900 1652.210 -88 -0.218658
4 40.004904200 -105.262207300 1643.970 -83 -0.130778
4 40.008154300 -105.262939600 1644.710 -77 -0.098317
7 40.007873900 -105.269233900 1661.380 -89 -0.131532
7 40.008251600 -105.268935900 1653.870 -83 -0.484071
4 40.007338900 -105.266371200 1653.680 -71 0.408147
4 40.007098400 -105.264552000 1648.490 -79 -0.462314
7 40.004529000 -105.267799400 1662.100 -89 0.062346
2 40.003658500 -105.261831800 1652.060 -86 -0.392224
4 40.006973200 -105.262134300 1648.800 -80 0.413915
4 40.008196700 -105.264782900 1646.120 -69 0.059608
4 40.006463300 -105.264133100 1654.640 -70 -0.181587
4 40.007274200 -105.267462300 1662.460 -83 0.049317
7 40.005564700 -105.266354900 1652.380 -90 0.098821
4 40.004890800 -105.262235800 1644.530 -81 -0.13067
4 40.008154400 -105.262901800 1644.370 -81 0.082463
7 40.007874200 -105.269261400 1660.890 -87 0.027359
4 40.008246100 -105.268780100 1652.390 -87 0.048107
4 40.007338900 -105.266371200 1653.680 -66 -0.307403
4 40.007117100 -105.264540100 1648.290 -77 -0.077505
2 40.003643800 -105.261855900 1652.430 -84 -0.132593
4 40.006973200 -105.262134300 1648.800 -75 -0.21458
4 40.008188500 -105.264749100 1645.790 -69 0.266941
4 40.006479200 -105.264147900 1654.230 -74 0.101738
7 40.007271700 -105.267460900 1662.990 -78 -0.444595
7 40.005566800 -105.266332700 1651.920 -84 0.446584
4 40.004875700 -105.262260600 1644.930 -80 0.12555
4 40.008155000 -105.262864300 1644.260 -84 0.455032
7 40.007873900 -105.269287900 1660.460 -90 0.337659
4 40.007342100 -105.266396700 1653.540 -74 -0.331397
7 40.006098000 -105.270951400 1660.010 -89 -0.300777
2 40.003633200 -105.261880100 1652.740 -89 0.267897
4 40.006956600 -105.262119500 1649.190 -80 -0.019436
4 40.008188500 -105.264749100 1645.790 -69 -0.449657
4 40.006501400 -105.264155200 1653.860 -77 0.487111
7 40.005566800 -105.266332700 1651.920 -87 -0.167925
4 40.004857700 -105.262282300 1644.940 -80 0.441853
4 40.008155000 -105.262864300 1644.260 -78 -0.350602
7 40.008248600 -105.268818500 1652.720 -82 0.347071
4 40.007344900 -105.266422500 1653.440 -72 -0.150578
2 40.003623900 -105.261906900 1653.300 -80 0.36511
4 40.006938600 -105.262106200 1649.260 -82 0.161871
4 40.008180500 -105.264712100 1645.840 -71 -0.181164
4 40.006501400 -105.264155200 1653.860 -74 -0.1272
4 40.007273000 -105.267461500 1662.540 -80 -0.100786
6 40.005568800 -105.266480200 1652.160 -84 -0.419965
4 40.004857700 -105.262282300 1644.940 -82 -0.070134
4 40.008156200 -105.262827900 1644.270 -81 -0.280783
7 40.007871800 -105.269314300 1660.290 -87 -0.012372
7 40.008248600 -105.268818500 1652.720 -83 -0.270346
4 40.007344700 -105.266447200 1653.330 -72 0.111055
7 40.006065000 -105.270912000 1660.610 -87 -0.203152
7 40.004572700 -105.267880000 1660.960 -91 -0.112523
4 40.006916700 -105.262095900 1649.190 -79 0.445508
4 40.008175400 -105.264674300 1645.880 -68 0.014888
4 40.006524100 -105.264156500 1653.390 -78 0.049046
6 40.007273000 -105.267461500 1662.540 -86 -0.3434
7 40.005566800 -105.266291400 1651.530 -88 0.090879
4 40.004836700 -105.262298500 1644.990 -76 -0.011149
4 40.008156800 -105.262792500 1644.280 -82 -0.29599
4 40.007867500 -105.269395000 1658.890 -82 -0.365283
4 40.007343300 -105.266469500 1653.270 -71 0.414952
7 40.006045800 -105.270892300 1660.180 -84 0.099407
7 40.004587400 -105.267908700 1660.820 -85 0.070623
4 40.003565700 -105.262013900 1655.190 -88 0.138025
4 40.006916700 -105.262095900 1649.190 -82 -0.271006
4 40.008171500 -105.264636200 1645.860 -71 0.380648
4 40.006546600 -105.264155200 1652.930 -77 0.234357
4 40.007272200 -105.267463400 1663.200 -82 -0.047909
6 40.005559000 -105.266435900 1652.430 -91 0.043826
4 40.004813500 -105.262310100 1645.110 -80 -0.019839
4 40.008158200 -105.262757900 1644.210 -80 0.088869
7 40.007866600 -105.269369300 1659.480 -86 0.386138
7 40.008243400 -105.268741700 1652.030 -84 -0.09174
4 40.007345100 -105.266489600 1652.990 -68 0.494217
7 40.006027700 -105.270871000 1659.950 -86 0.076132
4 40.007184000 -105.264468100 1647.750 -76 0.02243
7 40.004603600 -105.267939300 1660.660 -89 0.471753
2 40.003598000 -105.261959700 1653.960 -90 0.021407
4 40.006890700 -105.262087700 1648.680 -75 0.012231
4 40.008171500 -105.264636200 1645.860 -75 -0.418165
4 40.006569400 -105.264151100 1652.770 -76 0.40793
4 40.007272500 -105.267461000 1663.760 -83 0.031347
7 40.005564500 -105.266272800 1651.240 -85 -0.38757
4 40.004793000 -105.262320500 1645.080 -78 0.165128
4 40.008159100 -105.262722500 1643.970 -80 0.067038
7 40.007866600 -105.269369300 1659.480 -85 -0.25075
7 40.008241900 -105.268702100 1651.720 -88 0.28924
4 40.007345100 -105.266489600 1652.990 -63 -0.329061
7 40.006010100 -105.270846800 1659.780 -82 0.274176
4 40.003542100 -105.262073800 1655.990 -87 0.498767
4 40.006866200 -105.262085900 1648.310 -78 0.398264
4 40.008167900 -105.264598800 1645.770 -74 -0.138372
4 40.006569400 -105.264151100 1652.770 -70 -0.403582
7 40.007272200 -105.267463400 1663.200 -83 0.452385
6 40.005558700 -105.266379900 1652.210 -82 0.406342
4 40.004772600 -105.262326900 1645.110 -77 0.44873
4 40.008159000 -105.262686400 1643.660 -80 0.247855
4 40.007874100 -105.269477400 1658.680 -85 0.388432
4 40.008241800 -105.268584100 1650.650 -85 -0.369666
4 40.007353200 -105.266504500 1652.800 -64 -0.144275
4 40.003542100 -105.262073800 1655.990 -89 -0.409336
4 40.006866200 -105.262085900 1648.310 -79 -0.451034
4 40.008166900 -105.264561500 1645.720 -75 0.218823
4 40.007273300 -105.267461500 1663.390 -80 0.189068
4 40.006593800 -105.264148100 1652.550 -85 -0.325978
7 40.005568400 -105.266228900 1651.340 -87 -0.309044
4 40.004772600 -105.262326900 1645.110 -77 -0.370466
6 40.008154300 -105.262939600 1644.710 -88 0.135409
4 40.007875300 -105.269501700 1659.310 -86 0.3649
4 40.008241900 -105.268548100 1650.510 -91 0.016333
4 40.007367800 -105.266513300 1652.740 -64 0.311026
7 40.005996200 -105.270816800 1659.740 -86 -0.059161
4 40.007224700 -105.264398400 1646.460 -78 0.269452
4 40.006841000 -105.262083700 1648.440 -78 -0.444146
4 40.008166900 -105.264561500 1645.720 -72 -0.364762
4 40.007273500 -105.267464300 1663.570 -81 0.470218
4 40.006619800 -105.264146200 1652.380 -83 -0.272117
7 40.005573000 -105.266202600 1651.200 -86 -0.327822
4 40.004751500 -105.262326600 1645.110 -80 0.101036
4 40.008158500 -105.262649000 1643.450 -74 -0.287248
7 40.008240600 -105.268622400 1650.950 -88 0.309869
4 40.007367800 -105.266513300 1652.740 -63 -0.374767
8 40.006010100 -105.270846800 1659.780 -91 -0.34888
7 40.007184000 -105.264468100 1647.750 -83 0.467196
4 40.006815100 -105.262080700 1648.980 -80 -0.160634
4 40.008167800 -105.264525400 1645.570 -70 -0.081712
4 40.007273500 -105.267464300 1663.570 -82 -0.450269
7 40.005988400 -105.269674800 1659.160 -88 0.375911
4 40.006647300 -105.264143600 1652.240 -81 -0.190618
4 40.004731100 -105.262322700 1645.140 -88 0.195972
4 40.008157900 -105.262611700 1643.340 -77 0.097788
7 40.008240600 -105.268622400 1650.950 -89 -0.270876
4 40.007385800 -105.266518000 1652.940 -67 -0.114167
4 40.007238100 -105.264375500 1645.950 -73 -0.367731
2 40.003542100 -105.262073800 1655.990 -89 0.153084
4 40.006790800 -105.262072000 1649.790 -73 -0.089014
4 40.008169900 -105.264491600 1645.690 -70 0.10122
4 40.007271900 -105.267465100 1664.250 -81 -0.271195
7 40.005988400 -105.269674800 1659.160 -87 -0.365241
4 40.006675300 -105.264143000 1651.900 -76 -0.193138
7 40.005573900 -105.266143400 1651.050 -88 0.383469
4 40.004713100 -105.262316300 1644.980 -81 0.270231
4 40.008156200 -105.262575600 1643.090 -84 0.279594
4 40.008239100 -105.268477300 1650.880 -88 0.173717
4 40.007403500 -105.266521000 1652.980 -68 0.163029
8 40.005989900 -105.270783400 1659.390 -91 0.011446
4 40.007250700 -105.264350100 1646.110 -71 0.018074
4 40.006766400 -105.262059300 1649.990 -85 -0.011656
4 40.008170600 -105.264459000 1645.560 -61 0.384178
4 40.007270100 -105.267461000 1664.600 -76 -0.29436
7 40.006007700 -105.269643300 1659.250 -87 0.030328
4 40.006703500 -105.264146900 1652.030 -77 -0.114737
6 40.005566800 -105.266291400 1651.530 -81 0.105725
4 40.004713100 -105.262316300 1644.980 -82 -0.371022
6 40.008156200 -105.262827900 1644.270 -84 0.062879
4 40.007422300 -105.266522700 1653.060 -65 0.341024
7 40.005991100 -105.270710700 1659.800 -87 0.153345
4 40.007263200 -105.264325300 1646.170 -75 0.475939
4 40.006744500 -105.262054200 1649.490 -78 0.071331
4 40.008170600 -105.264459000 1645.560 -60 -0.434679
4 40.007268700 -105.267459100 1664.620 -80 0.065755
4 40.006733100 -105.264151700 1651.620 -71 0.167594
6 40.005564500 -105.266272800 1651.240 -87 0.286544
